Substância Ativa/DCI,Nome do Medicamento,Forma Farmacêutica,Dosagem,Titular de AIM,Genérico,Estado da AIM,Comercialização
Lomitapida,Lojuxta,Cápsula,40 mg,Amryt Pharmaceuticals Designated Activity Company,Não,Autorizado,Não Comercializado
Lomitapida,Lojuxta,Cápsula,60 mg,Amryt Pharmaceuticals Designated Activity Company,Não,Autorizado,Não Comercializado
Diclofenac,Diclofenac Phagecon,Gel,10 mg/g,"Phagecon - Serviços e Consultoria Farmacêutica, Lda.",Não,Autorizado,Não Comercializado
Lacosamida,Lacosamida Mylan,Comprimido revestido por película,100 mg,"Mylan, Lda.",Sim,Autorizado,Comercializado
Lacosamida,Lacosamida Mylan,Comprimido revestido por película,50 mg,"Mylan, Lda.",Sim,Autorizado,Comercializado
Telmisartan + Hidroclorotiazida,Telhycar,Comprimido,80 mg + 25 mg,Swyssi AG,Sim,Autorizado,Não Comercializado
Olanzapina,Olanzapina Alter,Comprimido revestido por película,2.5 mg,"Alter, S.A.",Sim,Autorizado,Não Comercializado
Factores de coagulação do sangue,Prothromplex,Pó e solvente para solução injetável,600 U.I./20 ml,Baxalta Innovations GmbH,Não,Autorizado,Não Comercializado
Ciltacabtagene autoleucel,Carvykti,Dispersão para perfusão,3.2 x10e6 - 1.0 x10e8 células,Janssen-Cilag International N.V.,Não,Autorizado,Não Comercializado
Mitomicina,Mitomicina medac,Pó e solvente para solução para uso intravesical,40 mg/40 ml,Medac Gesellschaft fur klinische Spezialpraparate mbH,Sim,Autorizado,Comercializado
Telmisartan + Hidroclorotiazida,Telhycar,Comprimido,80 mg + 12.5 mg,Swyssi AG,Sim,Autorizado,Não Comercializado
Mitapivato,Pyrukynd,Comprimido revestido por película,5 mg,Agios Netherlands B.V.,Não,Autorizado,Não Comercializado
Olanzapina,Olanzapina toLife,Comprimido revestido por película,5 mg,"Towa Pharmaceutical, S.A.",Sim,Autorizado,Comercializado
Olanzapina,Olanzapina Teva,Comprimido orodispersível,5 mg,Teva B.V.,Sim,Autorizado,Comercializado
Mitomicina,Mitomicina medac,Pó para solução intravesical ou para solução injetável ou para perfusão,2 mg,Medac Gesellschaft fur klinische Spezialpraparate mbH,Sim,Autorizado,Não Comercializado
Diclofenac,Diclofenac Stada,Gel,10 mg/g,"Stada, Lda.",Não,Autorizado,Não Comercializado
Dabigatrano etexilato,Dabigatrano etexilato Krka,Cápsula,75 mg,"KRKA d.d., Novo mesto",Sim,Autorizado,Não Comercializado
Tizanidina,Tizanidina Teva,Comprimido,2 mg,"Teva Pharma - Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Dabigatrano etexilato,Dabigatrano etexilato Krka,Cápsula,110 mg,"KRKA d.d., Novo mesto",Sim,Autorizado,Não Comercializado
Dabigatrano etexilato,Dabigatrano etexilato Krka,Cápsula,150 mg,"KRKA d.d., Novo mesto",Sim,Autorizado,Não Comercializado
Sildenafil,Sildenafil Jaba,Comprimido revestido por película,100 mg,"Jaba Recordati, S.A.",Sim,Autorizado,Comercializado
Solifenacina,Blaxi,Comprimido revestido por película,5 mg,"LifeWell - Pharmaceutical & Healthcare, Lda.",Sim,Autorizado,Comercializado
Solifenacina,Blaxi,Comprimido revestido por película,10 mg,"LifeWell - Pharmaceutical & Healthcare, Lda.",Sim,Autorizado,Comercializado
Aripiprazol,Aripiprazol Ratiopharm,Comprimido,10 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Aripiprazol,Aripiprazol Ratiopharm,Comprimido,15 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Sim,Autorizado,Não Comercializado
Desloratadina,Clarus,Solução oral,0.5 mg/ml,"Laboratórios Basi - Indústria Farmacêutica, S.A",Sim,Autorizado,Comercializado
Clindamicina,Dalacin V,Creme vaginal,20 mg/g,"Laboratórios Pfizer, Lda.",Não,Autorizado,Comercializado
Candesartan + Hidroclorotiazida,Candesartan + Hidroclorotiazida Generis Phar,Comprimido,16 mg + 12.5 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Febuxostate,Urosat,Comprimido revestido por película,120 mg,"Pygen, Lda.",Sim,Autorizado,Não Comercializado
Aripiprazol,Aripiprazol Aurovitas,Comprimido,5 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Sildenafil,Sildenafil toLife,Comprimido revestido por película,25 mg,"Towa Pharmaceutical, S.A.",Sim,Autorizado,Comercializado
Simoctocog alfa,Nuwiq,Pó e solvente para solução injetável,500 U.I./2.5 ml,Octapharma AB,Não,Autorizado,Comercializado
Simoctocog alfa,Nuwiq,Pó e solvente para solução injetável,1000 U.I./2.5 ml,Octapharma AB,Não,Autorizado,Comercializado
Aripiprazol,Aripiprazol Aurovitas,Comprimido,15 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Telmisartan + Hidroclorotiazida,Telmisartan + Hidroclorotiazida Alter,Comprimido,40 mg + 12.5 mg,"Alter, S.A.",Sim,Autorizado,Comercializado
Macimorelina,Macimorelina Aeterna Zentaris,Granulado para suspensão oral em saqueta,60 mg,Aeterna Zentaris GmbH,Não,Autorizado,Não Comercializado
Carbómero,Lacryvisc,Gel oftálmico,3 mg/g,"Alcon Portugal - Produtos e Equipamentos Oftalmológicos, Lda.",Não,Autorizado,Comercializado
Metronidazol,Metroderme,Creme,7.5 mg/g,Laboratorios Galderma S.A. - Sucursal em Portugal,Não,Autorizado,Não Comercializado
Citalopram,Citalopram Generis,Comprimido revestido por película,10 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Comercializado
Metronidazol,Metroderme,Emulsão cutânea,7.5 mg/g,Laboratorios Galderma S.A. - Sucursal em Portugal,Não,Autorizado,Não Comercializado
Meropenem + Vaborbactam,Vaborem,Pó para concentrado para solução para perfusão,1 g + 1 g,"Menarini International Operations Luxembourg, S.A.",Não,Autorizado,Não Comercializado
Cefazolina,Zepilen plusolv,Pó e solvente para solução injetável ou para perfusão,1000 mg/10 ml,Medochemie Ltd.,Sim,Autorizado,Não Comercializado
Tacrolímus,Tacforius,Cápsula de libertação prolongada,0.5 mg,Teva B.V.,Sim,Autorizado,Não Comercializado
Dabigatrano etexilato,Misbadi,Cápsula,75 mg,"TOWA Pharmaceutical Europe, S.L.",Sim,Autorizado,Não Comercializado
Quetiapina,Quetiapina Generis,Comprimido revestido por película,200 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Setmelanotido,Imcivree,Solução injetável,10 mg/ml,Rhythm Pharmaceuticals Netherlands B.V.,Não,Autorizado,Não Comercializado
Tacrolímus,Tacforius,Cápsula de libertação prolongada,1 mg,Teva B.V.,Sim,Autorizado,Não Comercializado
Tacrolímus,Tacforius,Cápsula de libertação prolongada,3 mg,Teva B.V.,Sim,Autorizado,Não Comercializado
Irbesartan,Karvea,Comprimido revestido,75 mg,Sanofi Winthrop Industrie,Não,Autorizado,Não Comercializado
Dexclorofeniramina,Dexclorofeniramina Accord,Solução injetável,5 mg/ml,"Accord Healthcare, S.L.U.",Sim,Autorizado,Comercializado
Treprostinilo,Trepulmix,Solução para perfusão,1 mg/ml,SciPharm Sàrl,Não,Autorizado,Comercializado
Telmisartan + Hidroclorotiazida,Telmisartan + Hidroclorotiazida Alter,Comprimido,80 mg + 12.5 mg,"Alter, S.A.",Sim,Autorizado,Comercializado
Telmisartan + Hidroclorotiazida,Telmisartan + Hidroclorotiazida Alter,Comprimido,80 mg + 25 mg,"Alter, S.A.",Sim,Autorizado,Comercializado
Olmesartan medoxomilo + Hidroclorotiazida,Olmesartan + Hidroclorotiazida Sandoz,Comprimido revestido por película,20 mg + 12.5 mg,"Sandoz Farmacêutica, Lda.",Sim,Autorizado,Não Comercializado
Olmesartan medoxomilo + Hidroclorotiazida,Olmesartan + Hidroclorotiazida Sandoz,Comprimido revestido por película,40 mg + 25 mg,"Sandoz Farmacêutica, Lda.",Sim,Autorizado,Não Comercializado
Olmesartan medoxomilo + Hidroclorotiazida,Olmesartan + Hidroclorotiazida Sandoz,Comprimido revestido por película,40 mg + 12.5 mg,"Sandoz Farmacêutica, Lda.",Sim,Autorizado,Não Comercializado
Olmesartan medoxomilo + Hidroclorotiazida,Olmesartan + Hidroclorotiazida Sandoz,Comprimido revestido por película,20 mg + 25 mg,"Sandoz Farmacêutica, Lda.",Sim,Autorizado,Não Comercializado
Etoricoxib,Etoricoxib Zentiva,Comprimido revestido por película,60 mg,"Zentiva Portugal, Lda.",Sim,Autorizado,Comercializado
Etoricoxib,Etoricoxib Zentiva,Comprimido revestido por película,90 mg,"Zentiva Portugal, Lda.",Sim,Autorizado,Comercializado
Etoricoxib,Etoricoxib Zentiva,Comprimido revestido por película,30 mg,"Zentiva Portugal, Lda.",Sim,Autorizado,Comercializado
Paliperidona,Paliperidona Teva,Comprimido de libertação prolongada,9 mg,Teva B.V.,Sim,Autorizado,Comercializado
Ondansetrom,Zofran,Xarope,0.8 mg/ml,"Sandoz Farmacêutica, Lda.",Não,Autorizado,Não Comercializado
Paliperidona,Paliperidona Ratiopharm,Comprimido de libertação prolongada,3 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Amoxicilina + Ácido clavulânico,Amoxicilina + Ácido Clavulânico Centrient,Pó para suspensão oral,400 mg/5 ml + 57 mg/5 ml,Centrient Pharmaceuticals Netherlands B.V.,Sim,Autorizado,Não Comercializado
Amoxicilina + Ácido clavulânico,Amoxicilina + Ácido Clavulânico Centrient,Pó para suspensão oral,600 mg/5 ml + 42.9 mg/5 ml,Centrient Pharmaceuticals Netherlands B.V.,Sim,Autorizado,Não Comercializado
Paliperidona,Paliperidona Ratiopharm,Comprimido de libertação prolongada,6 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Paliperidona,Paliperidona Ratiopharm,Comprimido de libertação prolongada,9 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Deferasirox,Deferasirox Mylan,Comprimido revestido por película,90 mg,Mylan Pharmaceuticals Limited,Sim,Autorizado,Comercializado
Amoxicilina + Ácido clavulânico,Amoxicilina + Ácido Clavulânico  Centrient Pharmaceuticals,Pó para suspensão oral,400 mg/5 ml + 57 mg/5 ml,Centrient Pharmaceuticals Netherlands B.V.,Sim,Autorizado,Não Comercializado
Granissetrom,Granissetrom Aurovitas,Comprimido revestido por película,1 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Comercializado
Amoxicilina + Ácido clavulânico,Amoxicilina + Ácido Clavulânico  Centrient Pharmaceuticals,Pó para suspensão oral,600 mg/5 ml + 42.9 mg/5 ml,Centrient Pharmaceuticals Netherlands B.V.,Sim,Autorizado,Não Comercializado
Quizartinib,Vanflyta,Comprimido revestido por película,26.5 mg,Daiichi-Sankyo Europe GmbH,Não,Autorizado,Não Comercializado
Fezolinetant,Veoza,Comprimido revestido por película,45 mg,Astellas Pharma Europe B.V.,Não,Autorizado,Não Comercializado
Vamorolona,Agamree,Suspensão oral,40 mg/ml,Santhera Pharmaceuticals (Deutschland) GmbH,Não,Autorizado,Não Comercializado
Ondansetrom,Ondansetrom toLife,Comprimido orodispersível,8 mg,"Towa Pharmaceutical, S.A.",Sim,Autorizado,Comercializado
Gadopiclenol,Vueway,Solução injetável,0.5 mmol/ml,"Bracco Imaging, S.p.A.",Não,Autorizado,Não Comercializado
Pitavastatina,Pitavastatina Vitória,Comprimido revestido por película,1 mg,"Faes Farma Portugal, S.A.",Sim,Autorizado,Comercializado
Pitavastatina,Pitavastatina Vitória,Comprimido revestido por película,2 mg,"Faes Farma Portugal, S.A.",Sim,Autorizado,Comercializado
Pitavastatina,Pitavastatina Vitória,Comprimido revestido por película,4 mg,"Faes Farma Portugal, S.A.",Sim,Autorizado,Comercializado
Gadopiclenol,Elucirem,Solução injetável,0.5 mmol/ml,"Guerbet, S.A.",Não,Autorizado,Não Comercializado
Ivacaftor,Kalydeco,Granulado,59.5 mg,Vertex Pharmaceuticals (Ireland) Limited,Não,Autorizado,Não Comercializado
Levofloxacina,Levofloxacina Mylan,Comprimido revestido por película,500 mg,"Mylan, Lda.",Sim,Autorizado,Comercializado
Fingolimod,Fingolimod Teva,Cápsula,0.25 mg,"Teva Pharma - Produtos Farmacêuticos, Lda.",Sim,Autorizado,Não Comercializado
Omeprazol,Omeprazol Teva,Cápsula gastrorresistente,20 mg,"Teva Pharma - Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Donepezilo,Donepezilo KRKA,Comprimido revestido por película,10 mg,"KRKA Farmacêutica, Sociedade Unipessoal, Lda.",Sim,Autorizado,Não Comercializado
Quetiapina,Quetiapina Teva,Comprimido revestido por película,200 mg,"Teva Pharma - Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Rosuvastatina,Crestor 40 mg,Comprimido revestido por película,40 mg,"Grünenthal, S.A.",Não,Autorizado,Não Comercializado
Trazodona,Trazodona Ratiopharm,Comprimido,100 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Paracetamol,Paracetamol Pharmakern,Comprimido,1000 mg,"Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.",Sim,Autorizado,Comercializado
Paracetamol,Paracetamol Generis,Pó efervescente,1000 mg,"Generis Farmacêutica, S.A.",Não,Autorizado,Comercializado
Amlodipina,Amlodipina Teva,Comprimido,5 mg,"Teva Pharma - Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Emtricitabina + Tenofovir,Emtricitabina + Tenofovir Accord,Comprimido revestido por película,200 mg + 245 mg,"Accord Healthcare, S.L.U.",Sim,Autorizado,Não Comercializado
Rosuvastatina,Visacor 40 mg,Comprimido revestido por película,40 mg,"Grünenthal, S.A.",Não,Autorizado,Não Comercializado
Vancomicina,Vangrotin,Pó para concentrado para solução para perfusão,500 mg,"Anfarm Hellas, S.A.",Sim,Autorizado,Não Comercializado
Ticagrelor,Ticagrelor Azevedos,Comprimido revestido por película,60 mg,"Laboratórios Azevedos - Indústria Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Lidocaína + Cloro-hexidina,Lidofon Spray Limão,Solução para pulverização bucal,0.5 mg/ml + 2 mg/ml,"Medinfar Consumer Health - Produtos Farmacêuticos, Lda.",Não,Autorizado,Não Comercializado
Lidocaína + Cloro-hexidina,Lidofon Spray Mentol,Solução para pulverização bucal,0.5 mg/ml + 2 mg/ml,"Medinfar Consumer Health - Produtos Farmacêuticos, Lda.",Não,Autorizado,Não Comercializado
Omeprazol,Omepra,Cápsula gastrorresistente,20 mg,"Laboratório B. A. Farma, Lda.",Sim,Autorizado,Não Comercializado
Mometasona,Mometasona GSP,Suspensão para pulverização nasal,50 µg/dose,Generic Pharma International (G.P.I.) Ltd.,Não,Autorizado,Não Comercializado
Pitavastatina,Pitavastatina Ciclum,Comprimido revestido por película,1 mg,"Ciclum Farma Unipessoal, Lda.",Sim,Autorizado,Comercializado
Atorvastatina + Ezetimiba,Zetovar,Comprimido,20 mg + 10 mg,"Zentiva Portugal, Lda.",Não,Autorizado,Comercializado
Ramipril,Ramipril Ritisca,Cápsula,2.5 mg,"Generis Phar, Unipessoal Lda.",Sim,Autorizado,Não Comercializado
Cefepima,Cefepima LDP Laboratorios Torlan,Pó para solução injetável ou para perfusão,1000 mg,"LDP-LABORATORIOS TORLAN, S.A.",Sim,Autorizado,Não Comercializado
Risdiplam,Evrysdi,Pó para solução oral,60 mg,Roche Registration GmbH,Não,Autorizado,Comercializado
Ramipril,Ramipril Ritisca,Cápsula,5 mg,"Generis Phar, Unipessoal Lda.",Sim,Autorizado,Não Comercializado
Metilfenidato,Metilfenidato Ciclum,Cápsula de libertação modificada,30 mg,"Ciclum Farma Unipessoal, Lda.",Sim,Autorizado,Não Comercializado
Ibuprofeno,Dimidon,Suspensão oral,40 mg/ml,"Laboratórios Basi - Indústria Farmacêutica, S.A",Não,Autorizado,Comercializado
Ramipril,Ramipril Ritisca,Cápsula,10 mg,"Generis Phar, Unipessoal Lda.",Sim,Autorizado,Não Comercializado
Ezetimiba,Ezetimiba Tecnigen,Comprimido,10 mg,"Biofarmoz - Sociedade Técnico Medicinal, Unip. Lda.",Sim,Autorizado,Não Comercializado
Metilfenidato,Metilfenidato Ciclum,Cápsula de libertação modificada,40 mg,"Ciclum Farma Unipessoal, Lda.",Sim,Autorizado,Não Comercializado
Tadalafil,Tadalafil Farmoz,Comprimido revestido por película,20 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Sim,Autorizado,Comercializado
Eptacog alfa (activado),Novoseven,Pó e solvente para solução injetável,100 K.U.I./2 ml,"Novo Nordisk, A/S",Não,Autorizado,Comercializado
Lactulose,Laevolac,Xarope,666.7 mg/ml,"Ferraz, Lynce, Especialidades Farmacêuticas, S.A.",Não,Autorizado,Comercializado
Venlafaxina,Venlafaxina Bluepharma,Cápsula de libertação prolongada,37.5 mg,Bluepharma Genéricos - Comércio de Medicamentos S.A.,Sim,Autorizado,Não Comercializado
Atenolol,Atenolol Azevedos,Comprimido revestido por película,25 mg,"Laboratórios Azevedos - Indústria Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Deanol + Glicerofosfato de magnésio + Hesperidina,Actilam Per-Os,Solução oral,Associação,"Confar - Consórcio Farmacêutico, Lda.",Não,Autorizado,Não Comercializado
Metotrexato,Metotrexato Teva 100 mg/ml Solução Injectável,Solução injetável,100 mg/ml,"Teva Pharma - Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Mononitrato de isossorbida,Monopront,Comprimido,20 mg,"Ferraz, Lynce, Especialidades Farmacêuticas, S.A.",Não,Autorizado,Comercializado
Alteplase,Actilyse Pó e solvente para solução injectável e perfusão,Pó e solvente para solução injetável ou para perfusão,10 mg/10 ml,"Boehringer Ingelheim, Portugal Lda.",Não,Autorizado,Comercializado
Alteplase,Actilyse Pó e solvente para solução injectável e perfusão,Pó e solvente para solução injetável ou para perfusão,20 mg/20 ml,"Boehringer Ingelheim, Portugal Lda.",Não,Autorizado,Não Comercializado
Alteplase,Actilyse Pó e solvente para solução injectável e perfusão,Pó e solvente para solução injetável ou para perfusão,50 mg/50 ml,"Boehringer Ingelheim, Portugal Lda.",Não,Autorizado,Comercializado
Paracetamol + Codeína + Buclizina,Migraleve,Comprimido revestido,500 mg + 8 mg + 6.25 mg,"Johnson & Johnson, Lda.",Não,Autorizado,Não Comercializado
Amlodipina + Valsartan + Hidroclorotiazida,Copalia HCT,Comprimido revestido por película,10 mg + 160 mg + 25 mg,Novartis Europharm Limited,Não,Autorizado,Não Comercializado
Deflazacorte,Deflazacorte Tolife,Comprimido,6 mg,"Towa Pharmaceutical, S.A.",Sim,Autorizado,Comercializado
Amlodipina + Valsartan + Hidroclorotiazida,Copalia HCT,Comprimido revestido por película,10 mg + 320 mg + 25 mg,Novartis Europharm Limited,Não,Autorizado,Não Comercializado
Levocetirizina,Levocetirizina ratiopharm,Comprimido revestido por película,5 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Amlodipina + Valsartan + Hidroclorotiazida,Dafiro HCT,Comprimido revestido por película,5 mg + 160 mg + 12.5 mg,Novartis Europharm Limited,Não,Autorizado,Não Comercializado
Amlodipina + Valsartan + Hidroclorotiazida,Dafiro HCT,Comprimido revestido por película,5 mg + 160 mg + 25 mg,Novartis Europharm Limited,Não,Autorizado,Não Comercializado
Duloxetina,Duloxetina Odipe,Cápsula gastrorresistente,60 mg,"Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.",Sim,Autorizado,Não Comercializado
Valaciclovir,Valaciclovir toLife,Comprimido revestido por película,500 mg,"Towa Pharmaceutical, S.A.",Sim,Autorizado,Comercializado
Granissetrom,Granissetrom Kabi,Solução injetável,1 mg/1 ml,"Fresenius Kabi Pharma Portugal, Lda.",Sim,Autorizado,Não Comercializado
Aripiprazol,Aripiprazol Teva,Comprimido,15 mg,"Teva Pharma - Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Pregabalina,Pregabalina Tecnigen,Cápsula,25 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Sim,Autorizado,Comercializado
Pregabalina,Pregabalina Tecnigen,Cápsula,75 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Sim,Autorizado,Comercializado
Pregabalina,Pregabalina Tecnigen,Cápsula,150 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Sim,Autorizado,Comercializado
Pregabalina,Pregabalina Tecnigen,Cápsula,50 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Sim,Autorizado,Comercializado
Alopurinol,Alopurinol Generis,Comprimido,100 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Comercializado
Alopurinol,Alopurinol Generis,Comprimido,300 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Comercializado
Sunitinib,Sunitinib Teva,Cápsula,50 mg,Teva B.V.,Sim,Autorizado,Comercializado
Amlodipina + Olmesartan medoxomilo,Amlodipina + Olmesartan medoxomilo toLife,Comprimido revestido por película,5 mg + 20 mg,"Towa Pharmaceutical, S.A.",Sim,Autorizado,Comercializado
Gabapentina,Gabapentina Generis,Cápsula,400 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Atorvastatina + Ezetimiba,Zetovar,Comprimido,10 mg + 10 mg,"Zentiva Portugal, Lda.",Não,Autorizado,Comercializado
Ácido salicílico,Pedicol,Solução cutânea,100 mg/ml,"Labialfarma - Laboratório de Produtos Farmacêuticos e Nutracêuticos, S.A.",Não,Autorizado,Comercializado
Pantoprazol,Pantoprazol Generis,Comprimido gastrorresistente,40 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Comercializado
Atomoxetina,Atomoxetina ratiopharm,Cápsula,10 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Atomoxetina,Atomoxetina ratiopharm,Cápsula,18 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Candesartan,Candesartan Pharmakern,Comprimido,4 mg,"Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.",Sim,Autorizado,Não Comercializado
Atomoxetina,Atomoxetina ratiopharm,Cápsula,25 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Atomoxetina,Atomoxetina ratiopharm,Cápsula,40 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Atorvastatina,Atorvastatina Vivanta,Comprimido revestido por película,40 mg,Vivanta Generics s.r.o.,Sim,Autorizado,Não Comercializado
Atomoxetina,Atomoxetina ratiopharm,Cápsula,80 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Atorvastatina,Atorvastatina Vivanta,Comprimido revestido por película,20 mg,Vivanta Generics s.r.o.,Sim,Autorizado,Não Comercializado
Atorvastatina,Atorvastatina Vivanta,Comprimido revestido por película,80 mg,Vivanta Generics s.r.o.,Sim,Autorizado,Não Comercializado
Dimesilato de lisdexanfetamina,Elvanse,Cápsula,30 mg,Takeda Pharmaceuticals International AG Ireland Branch,Não,Autorizado,Comercializado
Losartan + Hidroclorotiazida,Losartan + Hidroclorotiazida Generis,Comprimido revestido por película,50 mg + 12.5 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Comercializado
Losartan + Hidroclorotiazida,Losartan + Hidroclorotiazida Generis,Comprimido revestido por película,100 mg + 12.5 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Comercializado
Candesartan + Hidroclorotiazida,Candesartan + Hidroclorotiazida Sandoz,Comprimido,16 mg + 12.5 mg,"Sandoz Farmacêutica, Lda.",Sim,Autorizado,Comercializado
Micofenolato de mofetil,Micofenolato de Mofetil Farmoz,Comprimido revestido por película,500 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Sim,Autorizado,Não Comercializado
Valaciclovir,Valaciclovir toLife,Comprimido revestido por película,1000 mg,"Towa Pharmaceutical, S.A.",Sim,Autorizado,Comercializado
Cianocobalamina + Piridoxina + Tiamina,Neurobion,Comprimido revestido,0.2 mg + 200 mg + 100 mg,P&G Health Germany GmbH,Não,Autorizado,Comercializado
Amlodipina + Candesartan,Carzap Am,Comprimido,10 mg + 16 mg,"Zentiva Portugal, Lda.",Não,Autorizado,Comercializado
Micofenolato de mofetil,Micofenolato de Mofetil Farmoz,Comprimido revestido por película,250 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Sim,Autorizado,Não Comercializado
Caspofungina,Kasiniv,Pó para concentrado para solução para perfusão,50 mg,"Pharma Bavaria Internacional (PBI) Portugal, Unipessoal Lda.",Sim,Autorizado,Não Comercializado
Caspofungina,Kasiniv,Pó para concentrado para solução para perfusão,70 mg,"Pharma Bavaria Internacional (PBI) Portugal, Unipessoal Lda.",Sim,Autorizado,Não Comercializado
Amlodipina + Candesartan,Carzap Am,Comprimido,5 mg + 8 mg,"Zentiva Portugal, Lda.",Não,Autorizado,Comercializado
Caspofungina,Caspofungina Farmoz,Pó para concentrado para solução para perfusão,50 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Sim,Autorizado,Comercializado
Eletriptano,Eletriptano Pfizer,Comprimido revestido por película,40 mg,Upjohn EESV,Sim,Autorizado,Não Comercializado
Cianocobalamina + Piridoxina + Tiamina,Neurobion,Solução injetável,Associação,P&G Health Germany GmbH,Não,Autorizado,Comercializado
Caspofungina,Caspofungina Farmoz,Pó para concentrado para solução para perfusão,70 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Sim,Autorizado,Comercializado
Paracetamol,Paracetamol Fuzix,Comprimido,1000 mg,"FHC - Farmacêutica, Lda.",Sim,Autorizado,Não Comercializado
Omeprazol,Omeprazol Vitória,Cápsula gastrorresistente,20 mg,"Faes Farma Portugal, S.A.",Sim,Autorizado,Comercializado
Pregabalina,Pregabalina Krka,Cápsula,25 mg,"KRKA d.d., Novo mesto",Sim,Autorizado,Comercializado
Dexpantenol,Recreol,Pomada,50 mg/g,AS Grindeks,Não,Autorizado,Comercializado
Dexpantenol,Recreol,Creme,50 mg/g,AS Grindeks,Não,Autorizado,Comercializado
Pregabalina,Pregabalina Krka,Cápsula,50 mg,"KRKA d.d., Novo mesto",Sim,Autorizado,Comercializado
Bimatoprost,Amiriox,"Colírio, solução",0.3 mg/ml,SIFI S.P.A.,Não,Autorizado,Não Comercializado
Pregabalina,Pregabalina Krka,Cápsula,75 mg,"KRKA d.d., Novo mesto",Sim,Autorizado,Comercializado
Pregabalina,Pregabalina Krka,Cápsula,100 mg,"KRKA d.d., Novo mesto",Sim,Autorizado,Comercializado
Celecoxib,Celecoxib Ratiopharm,Cápsula,100 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Levetiracetam,Levetiracetam ratiopharm,Comprimido revestido por película,250 mg,Ratiopharm GmbH,Sim,Autorizado,Comercializado
Paracetamol,Paracetamol Alter,Comprimido,1000 mg,"Alter, S.A.",Sim,Autorizado,Comercializado
Telmisartan,Telmisartan toLife,Comprimido,40 mg,"Towa Pharmaceutical, S.A.",Sim,Autorizado,Comercializado
Pantoprazol,Pantoprazol Hikma,Pó para solução injetável,40 mg,"Hikma Farmacêutica (Portugal), S.A.",Sim,Autorizado,Não Comercializado
